Country,Series,Description,Question Type,Question Wording,Method
India,ITG-CVoter PM,India Today Group CVoter Prime Minister Performance,Performance,How do you rate the performance of Manmohan singh as Prime Minister?,
India,ITG-CVoter GOV,India Today Group CVoter Government Performance,Performance,How do you rate the performance of UPA government?,
India,Firstpost-IPSOS,Firstpost -IPSOS National  Trust Survey,Performace,How do you rate the performance of  Current Prime Minister?,
India,GALLUPWORLD_LSHP,Gallup World Poll (leadership) ,Approval ,Do you approve or disapprove of the job performance of the leadership of this country?,
India,GALLUPWORLD_LDR,Gallup World Poll (leader),Approval ,Do you approve or disapprove of the way the leader/head/President of this country is handling his/her job as leader/head/President?,
India,ITG-KI MOTN PM,India Today Group Karvy Insights Mood of the Nation PM,Performace,How do you rate the performance of Narendra Modi as a Prime Minister ?,
India,ITG-KI MOTN GOV,India Today Group Karvy Insight Mood of the Nation GOV,Performace,How satisfied are you with the overall performance of the NDA government ?,
India,LOKNITI CSDS GOV,Lokniti Centre for the Study of Developing Societies Govenment Satisfaction,Satisfaction,Are You satisfied or dissatisfied with the performance of the Central government ?,
India,LOKNITI CSDS PM ,Lokniti Centre for the Study of Developing Societies PM Satisfaction,Satisfaction,Are you satisfied or dissatisfied with PM's performance as a Prime Minister?,
India,LOKNITI CSDS PM PER,Lokniti Centre for the Study of Developing Societies PM Performance,Performace,"In general how will do you think Mrs. Gandhi has done her job as Prime Minister? Would you say she has done a good job, a fair job or a poor job as Prime Minister",
India,LOKNITI CSDS PM LIKE,Lokniti Centre for the Study of Developing Societies PM Likeability,Likeable,Some people like Narendra Modi as a leader and some don’t like do you like Modi or you don’t likehim?,
India,LOKNITI SOTN GOV,Lokniti State of the  Nation Survey Government Satisfaction,Satisfaction,What is your opinion about the present central government ? Are you Satisfied or Dissatisfied ?,
India,LOKNITI SOTN PM,Lokniti State of the Nation Survey PM Satisfaction,Satisfaction,What is your opinion about the performance of the Prime Minister ? Are you Satisfied or dissatisfied ?,
India,LOKNITI-MOTN,Lokniti Mood of the Nation Govt Performance,Satisfaction,Are you satisfied or dissatisfied with the performance of the BJP-led NDA government at the Centre in Delhi over the last three/three and half years?,
India,MorningConsult,Morning Consult,Approval ,,
India,PRC-PMSupport,Pew Research Centre - Prime Minister Support,Favorable,How much you support Prime Minister Narendra Modi ?,
India,IPSOS,IPSOS IndiaBus Survey,Approval ,Exact wording not available,
