Series,Date,Total Count,Positive,Neutral,Negative,Source,Country
Firstpost-IPSOS,2023-02-15 00:00:00,,67.0,,,Approval Rating of PM Narendra Modi soars to 75% in Feb 2024 – a 10% jump from Sept 2023 wave: Ipsos IndiaBus Survey | Ipsos,India
Firstpost-IPSOS,2024-09-15 00:00:00,,65.0,,,Approval Rating of PM Narendra Modi soars to 75% in Feb 2024 – a 10% jump from Sept 2023 wave: Ipsos IndiaBus Survey | Ipsos,India
Firstpost-IPSOS,2024-02-15 00:00:00,,75.0,,,Approval Rating of PM Narendra Modi soars to 75% in Feb 2024 – a 10% jump from Sept 2023 wave: Ipsos IndiaBus Survey | Ipsos,India
GALLUPWORLD_LDR,2025.0,3058.0,74.0,,20.0,https://docs.google.com/spreadsheets/d/1b8ctKb4iBpuO26QFEHqHspeQwGDiTIMa/edit?usp=sharing&ouid=103621415253554080783&rtpof=true&sd=true,India
GALLUPWORLD_LSHP,2021-01-26 00:00:00,9453.0,76.0,,21.0,https://analyticscampus-gallup-com.proxyiub.uits.iu.edu/Tables,India
GALLUPWORLD_LSHP,2021-10-14 00:00:00,3000.0,66.0,,27.0,GallupAnalytics_Export_20240723_084745,India
GALLUPWORLD_LSHP,2022-10-18 00:00:00,3000.0,74.0,,24.0,GallupAnalytics_Export_20240723_084745,India
GALLUPWORLD_LSHP,2023-12-27 00:00:00,3009.0,68.0,,22.0,GallupAnalytics_Export_20240723_084745,India
IPSOS,2024-05-15 00:00:00,,70.0,,,https://www.ipsos.com/en-in/indiabus/slight-dip-may-2024-yet-mr-modi-gets-high-approval-rating-70-showing-citizens-rate-him-high,India
IPSOS,2024-11-15 00:00:00,,70.0,,,https://www.ipsos.com/en-in/indiabus/pm-modis-approval-rating-ar-remains-steady-70-november-2024-ipsos-indiabus-pm-modis-approval-rating,India
ITG-CVoter GOV,2010-08-15 00:00:00,,32.0,39.0,26.0,UPA performance Manmohan Singh time,India
ITG-CVoter GOV,2011-08-15 00:00:00,,30.0,44.0,23.0,UPA performance Manmohan Singh time,India
ITG-CVoter GOV,2012-08-15 00:00:00,,18.0,53.0,24.0,UPA performance Manmohan Singh time,India
ITG-CVoter GOV,2013-01-15 00:00:00,,26.0,42.0,27.0,UPA performance Manmohan Singh time,India
ITG-CVoter GOV,2013-08-15 00:00:00,,21.0,27.0,45.0,UPA performance Manmohan Singh time,India
ITG-CVoter GOV,2014-01-15 00:00:00,,19.0,26.0,47.0,UPA performance Manmohan Singh time,India
ITG-CVoter PM,2010-08-15 00:00:00,,35.0,38.0,22.0,PM Performance ManMohan singh,India
ITG-CVoter PM,2011-01-15 00:00:00,,45.0,37.0,12.0,PM Performance ManMohan singh,India
ITG-CVoter PM,2012-01-15 00:00:00,,31.0,37.0,25.0,PM Performance ManMohan singh,India
ITG-CVoter PM,2012-08-15 00:00:00,,29.0,47.0,21.0,PM Performance ManMohan singh,India
ITG-CVoter PM,2013-01-15 00:00:00,,29.0,39.0,27.0,PM Performance ManMohan singh,India
ITG-CVoter PM,2013-08-15 00:00:00,,23.0,26.0,45.0,PM Performance ManMohan singh,India
ITG-CVoter PM,2014-01-15 00:00:00,,26.0,25.0,42.0,PM Performance ManMohan singh,India
ITG-KI MOTN GOV,2016-07-27 00:00:00,12321.0,55.0,32.0,12.0,https://www.indiatoday.in/magazine/cover-story/story/20160829-mood-of-the-nation-india-today-karvy-insights-survey-narendra-modi-829445-2016-08-17,India
ITG-KI MOTN GOV,2018-01-15 00:00:00,,60.0,24.0,15.0,ITG KI MOTN NDA PERFORMANCE,India
ITG-KI MOTN GOV,2018-07-15 00:00:00,12100.0,56.0,22.0,20.0,https://www.indiatoday.in/magazine/cover-story/story/20180827-on-a-slippery-slope-1315660-2018-08-18,India
ITG-KI MOTN GOV,2019-01-08 00:00:00,12166.0,54.0,23.0,21.0,https://www.indiatoday.in/magazine/web-exclusive/story/20190204-motn-poll-nda-government-overall-performance-1439403-2019-01-25,India
ITG-KI MOTN GOV,2019-08-15 00:00:00,,69.0,19.0,11.0,ITG KI MOTN NDA PERFORMANCE,India
ITG-KI MOTN GOV,2020-01-15 00:00:00,,62.0,20.0,13.0,ITG KI MOTN NDA PERFORMANCE,India
ITG-KI MOTN GOV,2020-07-27 00:00:00,12021.0,72.0,19.0,8.0,https://www.indiatoday.in/mood-of-the-nation/story/72-happy-with-modi-government-s-performance-mood-of-the-nation-poll-1708945-2020-08-07,India
ITG-KI MOTN GOV,2021-01-15 00:00:00,,66.0,21.0,11.0,ITG KI MOTN NDA PERFORMANCE,India
ITG-KI MOTN GOV,2022-01-20 00:00:00,,58.7,12.2,25.6,https://www.indiatoday.in/mood-of-the-nation/story/motn-survey-modi-on-top-but-challenges-persist-as-bjp-cms-score-low-mamata-rahul-gandhi-kejriwal-1902609-2022-01-21,India
ITG-KI MOTN GOV,2025-08-14 00:00:00,,52.4,15.3,2.7,https://www.indiatoday.in/mood-of-the-nation/story/pm-modis-popularity-plateaus-drop-for-nda-suggests-mood-of-the-nation-2778351-2025-08-28,India
ITG-KI MOTN PM,2016-07-27 00:00:00,12321.0,53.0,35.0,9.0,https://www.indiatoday.in/magazine/cover-story/story/20160829-mood-of-the-nation-india-today-karvy-insights-survey-narendra-modi-829445-2016-08-17,India
